Name,Latest Price,Previous Close,Low,High,+/- Points,+/- Percent,Time/Date,3 MO. +/-%,6 MO. +/-%,1 YEAR +/-%
Air Liquide,194.06194.06,0.000.00,-1.08-0.55%,12:35 PM03/19/2024 12:35:04 PM UTC-040018.03.2024,19.3210.98%,27.2416.21%,48.2232.78%,,,
Airbus,163.22163.22,0.000.00,0.460.28%,12:35 PM03/19/2024 12:35:07 PM UTC-040018.03.2024,20.8414.94%,29.0422.11%,44.0637.88%,,,
ArcelorMittal,24.3724.37,0.000.00,0.160.64%,12:38 PM03/19/2024 12:38:17 PM UTC-040018.03.2024,-0.51-2.04%,0.090.39%,-0.61-2.41%,,,
AXA,34.2434.24,0.000.00,-0.09-0.26%,12:35 PM03/19/2024 12:35:26 PM UTC-040018.03.2024,4.8416.59%,4.6215.72%,7.7229.36%,,,
BNP Paribas,61.3661.36,0.000.00,0.150.25%,12:35 PM03/19/2024 12:35:27 PM UTC-040018.03.2024,-2.84-4.50%,-1.21-1.97%,8.2215.80%,,,
Bouygues,37.6437.64,0.000.00,0.340.91%,12:35 PM03/19/2024 12:35:23 PM UTC-040018.03.2024,1.504.23%,3.6610.98%,5.7418.36%,,,
Cap Gemini,222.50222.50,0.000.00,-0.50-0.22%,12:35 PM03/19/2024 12:35:23 PM UTC-040018.03.2024,28.6014.60%,54.4031.98%,58.7535.44%,,,
Carrefour,15.7015.70,0.000.00,-0.01-0.03%,12:35 PM03/19/2024 12:35:20 PM UTC-040018.03.2024,-0.48-2.92%,-1.15-6.78%,-1.88-10.63%,,,
Crédit Agricole,13.1113.11,0.000.00,0.090.72%,12:35 PM03/19/2024 12:35:28 PM UTC-040018.03.2024,0.110.84%,1.2010.17%,2.8227.57%,,,
Danone,59.3459.34,0.000.00,-0.26-0.44%,12:35 PM03/19/2024 12:35:20 PM UTC-040018.03.2024,1.432.47%,5.6210.45%,5.089.35%,,,
Engie,15.3215.32,0.000.00,-0.06-0.36%,12:35 PM03/19/2024 12:35:20 PM UTC-040018.03.2024,-0.92-5.70%,0.090.61%,1.7312.76%,,,
