Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
ABN Amro,15.43 15.43,0.00 0.00,0.15 0.98%,12:35 PM 03/20/2024 12:35:05 PM UTC-0400 19.03.2024,1.43 10.54%,0.00 0.00%,0.90 6.42%
Adyen B.V. Parts Sociales,"1,448.20 1,448.20",0.00 0.00,4.40 0.30%,12:36 PM 03/20/2024 12:36:26 PM UTC-0400 19.03.2024,279.80 23.77%,782.90 116.14%,72.00 5.20%
Ahold Delhaize,27.23 27.23,0.00 0.00,0.08 0.28%,12:35 PM 03/20/2024 12:35:08 PM UTC-0400 19.03.2024,1.31 4.99%,-1.64 -5.62%,-2.53 -8.41%
Akzo Nobel,66.46 66.46,0.00 0.00,0.42 0.64%,12:35 PM 03/20/2024 12:35:26 PM UTC-0400 19.03.2024,-6.24 -8.52%,0.00 0.00%,0.88 1.33%
ArcelorMittal,24.39 24.39,0.00 0.00,0.02 0.06%,12:35 PM 03/20/2024 12:35:24 PM UTC-0400 19.03.2024,-2.06 -7.84%,0.46 1.94%,-0.78 -3.12%
ASML NV,869.60 869.60,0.00 0.00,-1.20 -0.14%,12:37 PM 03/20/2024 12:37:22 PM UTC-0400 19.03.2024,181.10 26.77%,300.20 53.85%,261.60 43.89%
ASR Nederland N.V,42.38 42.38,0.00 0.00,-0.16 -0.38%,12:37 PM 03/20/2024 12:37:15 PM UTC-0400 19.03.2024,-1.74 -4.01%,0.00 0.00%,4.87 13.26%
Heineken,84.62 84.62,0.00 0.00,0.34 0.40%,12:35 PM 03/20/2024 12:35:20 PM UTC-0400 19.03.2024,-3.88 -4.29%,0.00 0.00%,-8.40 -8.84%
IMCD,159.35 159.35,0.00 0.00,-0.25 -0.16%,12:35 PM 03/20/2024 12:35:27 PM UTC-0400 19.03.2024,1.40 0.92%,0.00 0.00%,9.50 6.56%
ING Group,14.53 14.53,0.00 0.00,0.24 1.67%,12:35 PM 03/20/2024 12:35:54 PM UTC-0400 19.03.2024,0.35 2.55%,1.26 9.86%,3.46 32.62%
KPN,3.33 3.33,0.00 0.00,0.00 0.06%,12:35 PM 03/20/2024 12:35:13 PM UTC-0400 19.03.2024,0.31 9.97%,0.00 0.00%,0.22 6.84%
NN Group,41.27 41.27,0.00 0.00,0.36 0.88%,12:35 PM 03/20/2024 12:35:06 PM UTC-0400 19.03.2024,5.36 15.13%,0.00 0.00%,7.29 21.77%
Philips,19.21 19.21,0.00 0.00,0.13 0.67%,12:35 PM 03/20/2024 12:35:58 PM UTC-0400 19.03.2024,-1.20 -5.84%,-11.29 -38.79%,4.69 32.00%
Randstad,50.78 50.78,0.00 0.00,0.40 0.79%,12:35 PM 03/20/2024 12:35:16 PM UTC-0400 19.03.2024,-6.62 -11.69%,0.00 0.00%,-7.98 -13.76%
RELX,39.66 39.66,0.00 0.00,-0.07 -0.18%,12:35 PM 03/20/2024 12:35:13 PM UTC-0400 19.03.2024,5.54 15.86%,0.00 0.00%,11.89 41.62%
Shell,30.69 30.69,0.00 0.00,0.42 1.37%,12:35 PM 03/20/2024 12:35:26 PM UTC-0400 19.03.2024,1.04 3.55%,0.00 0.00%,4.85 19.03%
Wolters Kluwer,145.65 145.65,0.00 0.00,0.45 0.31%,12:35 PM 03/20/2024 12:35:22 PM UTC-0400 19.03.2024,13.45 10.29%,0.00 0.00%,30.95 27.33%
