Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
AB InBev SA-NV (Anheuser-Busch InBev),55.21 55.19,55.21 55.21,0.02 0.04%,03:00 AM 03/20/2024 03:00:40 AM UTC-0400 20.03.2024,-1.99 -3.47%,1.76 3.28%,-0.90 -1.60%
Ackermans & van Haaren S.A.,155.90 156.70,155.90 155.90,-0.80 -0.51%,03:03 AM 03/20/2024 03:03:17 AM UTC-0400 20.03.2024,-7.90 -5.02%,0.00 0.00%,0.40 0.27%
ageas NV,40.11 40.22,40.11 40.11,-0.11 -0.27%,03:03 AM 03/20/2024 03:03:18 AM UTC-0400 20.03.2024,-0.56 -1.42%,0.00 0.00%,-0.98 -2.46%
Ahold Delhaize (Ahold),27.30 27.04,27.30 27.30,0.26 0.94%,03:00 AM 03/20/2024 03:00:10 AM UTC-0400 20.03.2024,1.31 4.99%,-1.64 -5.62%,-2.53 -8.41%
Cofinimmo S.A.,56.75 56.90,56.75 56.75,-0.15 -0.26%,03:03 AM 03/20/2024 03:03:18 AM UTC-0400 20.03.2024,-3.80 -5.33%,0.00 0.00%,-17.10 -20.21%
D'Ieteren NV,197.80 197.20,197.80 197.80,0.60 0.30%,03:03 AM 03/20/2024 03:03:17 AM UTC-0400 20.03.2024,12.00 7.03%,0.00 0.00%,12.70 7.47%
Elia System Operator SA-NV,95.70 94.65,95.70 95.70,1.05 1.11%,04:11 AM 03/20/2024 04:11:21 AM UTC-0400 20.03.2024,-9.30 -8.33%,0.00 0.00%,-10.40 -9.23%
Engie (ex GDF Suez),15.40 15.39,15.25 15.40,0.01 0.09%,03:46 AM 03/20/2024 03:46:16 AM UTC-0400 20.03.2024,-0.71 -4.39%,0.28 1.88%,1.95 14.50%
Etablissementen Franz Colruyt NV,42.36 42.40,42.36 42.36,-0.04 -0.09%,03:03 AM 03/20/2024 03:03:17 AM UTC-0400 20.03.2024,-0.42 -1.04%,0.00 0.00%,14.29 55.50%
Groupe Bruxelles Lambert S.A. (GBL),68.28 68.32,68.28 68.28,-0.04 -0.06%,03:03 AM 03/20/2024 03:03:17 AM UTC-0400 20.03.2024,-1.82 -2.51%,0.00 0.00%,-5.02 -6.64%
KBC Groep N.V.,68.42 68.30,68.42 68.42,0.12 0.18%,03:03 AM 03/20/2024 03:03:18 AM UTC-0400 20.03.2024,9.34 16.00%,0.00 0.00%,6.64 10.87%
NV Bekaert SA,47.56 47.76,47.56 47.56,-0.20 -0.42%,03:03 AM 03/20/2024 03:03:17 AM UTC-0400 20.03.2024,1.20 2.70%,0.00 0.00%,7.72 20.35%
Proximus (ex Belgacom),7.26 7.36,7.26 7.26,-0.10 -1.36%,03:15 AM 03/20/2024 03:15:07 AM UTC-0400 20.03.2024,-1.01 -11.80%,0.00 0.00%,-0.75 -9.08%
Solvay S.A.,23.18 23.32,23.18 23.18,-0.14 -0.60%,03:10 AM 03/20/2024 03:10:29 AM UTC-0400 20.03.2024,-2.90 -11.10%,1.52 6.98%,4.03 20.96%
Telenet Group Holding N.V.,0.00 0.00,0.00 0.00,0.00 0.00%,-,0.42 2.03%,0.00 0.00%,7.84 59.13%
ThromboGenics NV,0.00 0.00,0.00 0.00,0.00 0.00%,04:11 AM 03/20/2024 04:11:21 AM UTC-0400 20.03.2024,-0.01 -46.81%,0.00 0.00%,-1.15 -99.13%
UCB S.A.,107.85 107.35,107.85 107.85,0.50 0.47%,03:03 AM 03/20/2024 03:03:17 AM UTC-0400 20.03.2024,35.19 48.70%,0.00 0.00%,27.87 35.02%
