Company,ICBSector,Ticker symbol,Index weighting (%)[1],In index since
AB InBev,Food & Beverage,Euronext Brussels : ABI,12.07,February 2002
Ackermans & van Haaren,Financial Services,Euronext Brussels : ACKB,2.45,March 2007
Aedifica,Real Estate,Euronext Brussels : AED,2.69,March 2020
Ageas,Insurance,Euronext Brussels : AGS,7.51,March 1991
Aperam,Basic Resources,Euronext Brussels : APAM,1.53,March 2017
arGEN-X [ nl ],Health Care,Euronext Brussels : ARGX,9.93,June 2018
Cofinimmo,Real Estate,Euronext Brussels : COFB,2.79,January 2003
Colruyt,Retail,Euronext Brussels : COLR,2.30,January 1993
Elia,Utilities,Euronext Brussels : ELI,2.79,March 2021
Galapagos,Health Care,Euronext Brussels : GLPG,2.34,March 2016
GBL,Financial Services,Euronext Brussels : GBLB,7.70,March 1991
KBC,Banks,Euronext Brussels : KBC,11.61,January 1993
Melexis [ nl ],Electronic Equipment,Euronext Brussels : MELE,1.36,March 2021
Proximus Group,Telecommunications,Euronext Brussels : PROX,2.35,March 2004
Sofina,Financial Services,Euronext Brussels : SOF,3.70,March 2017
Solvay,Chemicals,Euronext Brussels : SOLB,6.08,March 1991
Telenet Group,Media,Euronext Brussels : TNET,1.31,March 2009
UCB,Health Care,Euronext Brussels : UCB,8.53,March 1991
Umicore,Chemicals,Euronext Brussels : UMI,7.88,March 1991
WDP [ nl ],Real Estate,Euronext Brussels : WDP,3.20,March 2019
