Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
Air Liquide,195.24 195.24,0.00 0.00,1.18 0.61%,12:35 PM 03/20/2024 12:35:03 PM UTC-0400 19.03.2024,19.16 10.89%,30.80 18.74%,47.92 32.55%
Airbus,166.18 166.18,0.00 0.00,2.96 1.81%,12:37 PM 03/20/2024 12:37:40 PM UTC-0400 19.03.2024,23.58 16.94%,32.72 25.16%,46.02 39.42%
ArcelorMittal,24.39 24.39,0.00 0.00,0.02 0.06%,12:35 PM 03/20/2024 12:35:24 PM UTC-0400 19.03.2024,-2.06 -7.84%,0.46 1.94%,-0.78 -3.12%
AXA,34.62 34.62,0.00 0.00,0.39 1.12%,12:35 PM 03/20/2024 12:35:28 PM UTC-0400 19.03.2024,5.22 17.93%,5.27 18.11%,8.36 32.19%
BNP Paribas,62.00 62.00,0.00 0.00,0.64 1.04%,12:39 PM 03/20/2024 12:39:09 PM UTC-0400 19.03.2024,-1.18 -1.89%,1.10 1.83%,9.53 18.44%
Bouygues,37.48 37.48,0.00 0.00,-0.16 -0.43%,12:35 PM 03/20/2024 12:35:27 PM UTC-0400 19.03.2024,2.85 8.27%,4.00 12.01%,6.13 19.67%
Cap Gemini,222.90 222.90,0.00 0.00,0.40 0.18%,12:35 PM 03/20/2024 12:35:13 PM UTC-0400 19.03.2024,30.55 15.87%,57.05 34.38%,55.85 33.41%
Carrefour,15.76 15.76,0.00 0.00,0.06 0.38%,12:35 PM 03/20/2024 12:35:29 PM UTC-0400 19.03.2024,-0.53 -3.27%,-1.13 -6.69%,-1.61 -9.27%
Crédit Agricole,13.24 13.24,0.00 0.00,0.13 0.98%,12:35 PM 03/20/2024 12:35:21 PM UTC-0400 19.03.2024,0.19 1.47%,1.47 12.69%,3.03 30.33%
Danone,59.29 59.29,0.00 0.00,-0.05 -0.08%,12:35 PM 03/20/2024 12:35:18 PM UTC-0400 19.03.2024,1.33 2.28%,5.79 10.76%,5.14 9.44%
Engie,15.38 15.38,0.00 0.00,0.05 0.35%,12:35 PM 03/20/2024 12:35:18 PM UTC-0400 19.03.2024,-0.71 -4.39%,0.28 1.88%,1.95 14.50%
EssilorLuxottica,209.80 209.80,0.00 0.00,2.70 1.30%,12:36 PM 03/20/2024 12:36:12 PM UTC-0400 19.03.2024,25.54 13.90%,35.88 20.69%,49.55 31.02%
Eurofins Scientific,56.56 56.56,0.00 0.00,0.56 1.00%,12:35 PM 03/20/2024 12:35:15 PM UTC-0400 19.03.2024,-0.98 -1.72%,1.08 1.96%,-5.24 -8.54%
Hermès,"2,404.50 2,404.50",0.00 0.00,27.00 1.14%,12:36 PM 03/20/2024 12:36:22 PM UTC-0400 19.03.2024,393.20 19.69%,515.60 27.51%,660.00 38.15%
Kering,425.95 425.95,0.00 0.00,2.50 0.59%,12:35 PM 03/20/2024 12:35:02 PM UTC-0400 19.03.2024,18.80 4.62%,-33.30 -7.25%,-120.95 -22.11%
LEGRAND,98.06 98.06,0.00 0.00,0.54 0.55%,12:35 PM 03/20/2024 12:35:00 PM UTC-0400 19.03.2024,1.56 1.62%,9.50 10.77%,12.96 15.29%
L'Oréal,441.20 441.20,0.00 0.00,-0.35 -0.08%,12:35 PM 03/20/2024 12:35:02 PM UTC-0400 19.03.2024,-1.30 -0.29%,41.75 10.32%,65.90 17.33%
LVMH Moet Hennessy Louis Vuitton,860.20 860.20,0.00 0.00,2.10 0.24%,12:36 PM 03/20/2024 12:36:34 PM UTC-0400 19.03.2024,120.50 16.24%,119.80 16.13%,75.00 9.53%
Michelin,35.36 35.36,0.00 0.00,0.37 1.06%,12:35 PM 03/20/2024 12:35:25 PM UTC-0400 19.03.2024,2.67 8.30%,4.73 15.71%,7.68 28.28%
Orange,10.60 10.60,0.00 0.00,0.00 0.04%,12:37 PM 03/20/2024 12:37:32 PM UTC-0400 19.03.2024,0.07 0.65%,-0.58 -5.23%,-0.05 -0.47%
Pernod Ricard,147.65 147.65,0.00 0.00,-1.25 -0.84%,12:35 PM 03/20/2024 12:35:29 PM UTC-0400 19.03.2024,-10.65 -6.57%,-17.85 -10.55%,-47.65 -23.94%
Publicis,98.72 98.72,0.00 0.00,0.74 0.76%,12:35 PM 03/20/2024 12:35:06 PM UTC-0400 19.03.2024,16.10 19.43%,27.10 37.70%,28.84 41.12%
Renault,43.86 43.86,0.00 0.00,0.71 1.65%,12:35 PM 03/20/2024 12:35:09 PM UTC-0400 19.03.2024,3.60 9.17%,5.04 13.35%,7.44 21.02%
SAFRAN,205.85 205.85,0.00 0.00,2.50 1.23%,12:37 PM 03/20/2024 12:37:13 PM UTC-0400 19.03.2024,41.59 25.87%,50.65 33.39%,73.97 57.62%
Saint-Gobain,70.00 70.00,0.00 0.00,0.87 1.26%,12:36 PM 03/20/2024 12:36:37 PM UTC-0400 19.03.2024,4.69 7.21%,12.76 22.41%,18.60 36.39%
Sanofi,87.20 87.20,0.00 0.00,-0.80 -0.91%,12:39 PM 03/20/2024 12:39:24 PM UTC-0400 19.03.2024,-0.41 -0.46%,-13.48 -13.26%,-1.60 -1.78%
Schneider Electric,215.30 215.30,0.00 0.00,0.60 0.28%,12:36 PM 03/20/2024 12:36:30 PM UTC-0400 19.03.2024,33.98 18.77%,58.08 37.01%,68.92 47.18%
Société Générale,24.03 24.03,0.00 0.00,0.32 1.35%,12:36 PM 03/20/2024 12:36:09 PM UTC-0400 19.03.2024,-0.46 -1.90%,0.45 1.93%,2.53 11.93%
SR.Teleperformance,84.04 84.04,0.00 0.00,-1.00 -1.18%,12:35 PM 03/20/2024 12:35:18 PM UTC-0400 19.03.2024,-37.44 -30.05%,-33.64 -27.85%,-135.54 -60.86%
Stellantis,26.62 26.62,0.00 0.00,0.47 1.80%,12:39 PM 03/20/2024 12:39:12 PM UTC-0400 19.03.2024,4.51 20.98%,8.22 46.21%,10.29 65.50%
STMicroelectronics,40.00 40.00,0.00 0.00,-1.22 -2.96%,12:39 PM 03/20/2024 12:39:59 PM UTC-0400 19.03.2024,-4.11 -9.03%,0.75 1.85%,-4.02 -8.85%
TotalEnergies,64.30 64.30,0.00 0.00,1.67 2.67%,12:39 PM 03/20/2024 12:39:28 PM UTC-0400 19.03.2024,0.13 0.21%,0.49 0.79%,9.34 17.58%
Unibail-Rodamco,71.56 71.56,0.00 0.00,0.68 0.96%,12:35 PM 03/20/2024 12:35:07 PM UTC-0400 19.03.2024,3.18 4.76%,22.89 48.61%,18.02 34.68%
Veolia Environnement,28.85 28.85,0.00 0.00,-0.08 -0.28%,12:35 PM 03/20/2024 12:35:15 PM UTC-0400 19.03.2024,0.21 0.72%,-0.02 -0.07%,2.85 10.80%
VINCI,117.16 117.16,0.00 0.00,0.06 0.05%,12:38 PM 03/20/2024 12:38:29 PM UTC-0400 19.03.2024,4.04 3.58%,10.76 10.13%,13.54 13.09%
Vivendi,9.92 9.92,0.00 0.00,-0.02 -0.24%,12:35 PM 03/20/2024 12:35:18 PM UTC-0400 19.03.2024,0.40 4.18%,1.86 22.93%,1.14 12.86%
