Name;Currency;Market Cap;CDP;FTSE4Good;MSCI ESG Ratings;Moody's ESG Solution;Sustainalytics;Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Carbon footprint (total GHG emissions / enterprise value)_in_USD;Share of women in total workforce in %;Rate of resignation in %
ACCOR;EUR;9510000000.0;;;;;;Stock;Ordinary Shares;Euronext Paris;FR0000120404;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501025, Hotels and Motels;572.6319;;
AIR LIQUIDE;EUR;97870000000.0;;;;;;Stock;Ordinary Shares;Euronext Paris;FR0000120073;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201020, Specialty Chemicals;;0.28;0.086
AIRBUS SE;EUR;126686000000.0;;;;;;Stock;Ordinary Shares;Euronext Paris;NL0000235190;50, Industrials;5020, Industrial Goods and Services;502010, Aerospace and Defense;50201010, Aerospace;;0.2;
ARCELORMITTAL SA;EUR;20050000000.0;;;;;;Stock;Ordinary Shares;Euronext Amsterdam;LU1598757687;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102010, Iron and Steel;3373.201;;
AXA;EUR;75961000000.0;;;;;;Stock;Ordinary Shares;Euronext Paris;FR0000120628;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance;2.7178;;0.1
BNP PARIBAS ACT.A;EUR;73611000000.0;;;;;;Stock;Ordinary Shares;Euronext Paris;FR0000131104;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;0.51;
BOUYGUES;EUR;13714000000.0;;;;;;Stock;Ordinary Shares;Euronext Paris;FR0000120503;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101010, Construction;767.1686000000001;;
CAPGEMINI;EUR;34936000000.0;;;;;;Stock;Ordinary Shares;Euronext Paris;FR0000125338;10, Technology;1010, Technology;101010, Software and Computer Services;10101010, Computer Services;23.668400000000002;0.38799999999999996;
CARREFOUR;EUR;11064000000.0;;;;;;Stock;Ordinary Shares;Euronext Paris;FR0000120172;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201010, Food Retailers and Wholesalers;;0.55;0.158
CREDIT AGRICOLE;EUR;41349000000.0;B;;;;22.7;Stock;Ordinary Shares;Euronext Paris;FR0000045072;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;0.522;0.04
DANONE;EUR;39677000000.0;;;;;;Stock;Ordinary Shares;Euronext Paris;FR0000120644;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;;;
DASSAULT SYSTEMES;EUR;51275000000.0;B;;;;;Stock;Ordinary Shares;Euronext Paris;FR0014003TT8;10, Technology;1010, Technology;101010, Software and Computer Services;10101015, Software;3.915023;0.281;
EDENRED;EUR;11172000000.0;;3.7/5;;;16.8;Stock;Ordinary Shares;Euronext Paris;FR0010908533;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205015, Transaction Processing Services;6.591200000000001;0.52;
ENGIE;EUR;38307000000.0;;;;;;Stock;Ordinary Shares;Euronext Paris;FR0010208488;65, Utilities;6510, Utilities;651020, Gas, Water and Multi-utilities;65102000, Multi-utilities;1848.9386000000002;0.265;0.054000000000000006
ESSILORLUXOTTICA;EUR;91314000000.0;;;;;;Stock;Ordinary Shares;Euronext Paris;FR0000121667;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102015, Medical Supplies;14.0384;0.6;
EUROFINS SCIENT.;EUR;11370000000.0;;;;;;Stock;Ordinary Shares;Euronext Paris;FR0014000MR3;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102020, Medical Services;34.143914;0.57;
HERMES INTL;EUR;247244000000.0;;;;;Negligible risk |9.2;Stock;Ordinary Shares;Euronext Paris;FR0000052292;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204020, Clothing and Accessories;;0.67;
