Name;Currency;Market Cap;CDP;FTSE4Good;MSCI ESG Ratings;Moody's ESG Solution;Sustainalytics;Carbon footprint (total GHG emissions / enterprise value);Share of women in total workforce;Rate of resignation;Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Share of women in management bodies;Gender pay gap;Professional equality index;Rate of employees with disabilities;Average training hours per employee;Board gender diversity (female board members / total board members);Number of female board members;Number of board members;Total energy consumption; Ratio of non-recycled waste
ACCOR;EUR;9.656B;;;;;;535.17 Ton / Million (EUR); %; %;Stock;Ordinary Shares;Euronext Paris;FR0000120404;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501025, Hotels and Motels; %; %; unit; %; unit;61.50%;8 unit;13 unit;13,712 GWh;
AIR LIQUIDE;EUR;98.258B;;;;;;;28%;8.60%;Stock;Ordinary Shares;Euronext Paris;FR0000120073;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201020, Specialty Chemicals;30%;;87 unit;4.50%;20 unit;35.70%;5 unit;14 unit; GWh;
AIRBUS SE;EUR;127.257B;;;;;;;20%;;Stock;Ordinary Shares;Euronext Paris;NL0000235190;50, Industrials;5020, Industrial Goods and Services;502010, Aerospace and Defense;50201010, Aerospace;;;;;15 unit;33.33%;4 unit;12 unit;3,717 GWh;
ARCELORMITTAL SA;EUR;20.331B;;;;;;3,373.201 Ton / Million (USD);;;Stock;Ordinary Shares;Euronext Amsterdam;LU1598757687;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102010, Iron and Steel;15.70%;;;;;30%;3 unit;10 unit;1,392,000,000 gigajoule;
AXA;EUR;77.141B;;;;;;2.54 Ton / Million (EUR);;10%;Stock;Ordinary Shares;Euronext Paris;FR0000120628;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance;35.30%;;;0.70%;;56.30%;9 unit;16 unit;223,638 MWh;
BNP PARIBAS ACT.A;EUR;74.838B;;;;;;;51%;;Stock;Ordinary Shares;Euronext Paris;FR0000131104;30, Financials;3010, Banks;301010, Banks;30101010, Banks; %;;64 unit;2.70%;24.2 unit;53.80%;7 unit;13 unit;830 GWh;
BOUYGUES;EUR;13.729B;;;;;;716.98 Ton / Million (EUR); %;;Stock;Ordinary Shares;Euronext Paris;FR0000120503;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101010, Construction; %;; unit; %; unit;57.10%;8 unit;14 unit;;
CAPGEMINI;EUR;34.711B;;;;;;22.12 Ton / Million (EUR);38.80%;;Stock;Ordinary Shares;Euronext Paris;FR0000125338;10, Technology;1010, Technology;101010, Software and Computer Services;10101010, Computer Services;27.30%;;80 unit;1.20%;52.4 unit;40%;6 unit;15 unit;201,053 MWh;
CARREFOUR;EUR;11.156B;;;;;;;55%;15.80%;Stock;Ordinary Shares;Euronext Paris;FR0000120172;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201010, Food Retailers and Wholesalers;30.80%;;97 unit;4.30%;9.2 unit;46.70%;7 unit;15 unit;4,556,990 MWh;
CREDIT AGRICOLE;EUR;41.924B;B;;;;22.7;;52.20%;4%;Stock;Ordinary Shares;Euronext Paris;FR0000045072;30, Financials;3010, Banks;301010, Banks;30101010, Banks;35.30%;;97 unit;5.40%;33.5 unit;47.60%;10 unit;21 unit;398,861 MWh;
DANONE;EUR;39.921B;;;;;;;;;Stock;Ordinary Shares;Euronext Paris;FR0000120644;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;;;;;;;;;;
