Index;Component;Ticker
CAC_40;ACCOR SA;AC
CAC_40;L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE SA;AI
CAC_40;AIRBUS SE;1AIR
CAC_40;ARCELORMITTAL SA;MT
CAC_40;ARCELORMITTAL SA;MT
CAC_40;AXA;CS
CAC_40;BNP PARIBAS ACT.A;BNP
CAC_40;BOUYGUES SA;EN
CAC_40;CAPGEMINI SE;CAP
CAC_40;CARREFOUR SA;CA
CAC_40;CREDIT AGRICOLE SA;ACA
CAC_40;DANONE SA;BN
CAC_40;DASSAULT SYSTEMES SE;DSY
CAC_40;EDENRED;EDEN
CAC_40;ENGIE SA;ENGI
CAC_40;ESSILORLUXOTTICA SA;EL
CAC_40;EUROFINS SCIENTIFIC SE;ERFSF
CAC_40;HERMES INTERNATIONAL SCA;RMS
CAC_40;KERING SA;KER
CAC_40;L'OREAL SA;OR
CAC_40;LEGRAND SA;LR
CAC_40;LVMH MOET HENNESSY LOUIS VUITTON SE;MC
CAC_40;COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN SCA;ML
CAC_40;ORANGE SA;ORA
CAC_40;PERNOD RICARD SA;RI
CAC_40;PUBLICIS GROUPE SA;PUB
CAC_40;RENAULT SA;RNO
CAC_40;SAFRAN SA;SAF
CAC_40;COMPAGNIE DE SAINT GOBAIN SA;SGO
CAC_40;SANOFI SA;SAN
CAC_40;SCHNEIDER ELECTRIC SE;SU
CAC_40;SOCIETE GENERALE SA;GLE
CAC_40;STELLANTIS NV;STLAP
CAC_40;STMICROELECTRONICS NV;STM
CAC_40;STMICROELECTRONICS NV;STM
CAC_40;TELEPERFORMANCE SE;TEP
CAC_40;THALES;HO
CAC_40;TOTALENERGIES SE;TTE
CAC_40;UNIBAIL-RODAMCO-WE;URW
CAC_40;VEOLIA ENVIRONNEMENT SA;VIE
CAC_40;VINCI SA;DG
CAC_40;VIVENDI SE;VIV
AEX;ABN AMRO BANK N.V.;ABN
AEX;ADYEN;ADYEN
AEX;AEGON;AGN
AEX;AHOLD DEL;AD
AEX;AKZO NOBEL;AKZA
AEX;ARCELORMITTAL SA;MT
AEX;ARCELORMITTAL SA;MT.S
AEX;ASM INTERNATIONAL;ASM
AEX;ASML HOLDING;ASML
AEX;ASR NEDERLAND;ASRNL
AEX;BE SEMICONDUCTOR;BESI
