Name;Currency;Market Cap;Carbon footprint (total GHG emissions / enterprise value);Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Average training hours per employee;Number of female board members;Number of board members;Share of women in total workforce in %;Share of women in management bodies in %;Gender pay gap in %;Rate of employees with disabilities in %;Board gender diversity (female board members / total board members) in %;Total energy consumption in mwh;Rate of resignation in %
ACCOR;EUR;9656000000.0;535.17 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Paris;FR0000120404;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501025, Hotels and Motels;;8.0;13.0;;;;;0.615;13712000.0;
AIR LIQUIDE;EUR;98258000000.0;;Stock;Ordinary Shares;Euronext Paris;FR0000120073;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201020, Specialty Chemicals;20.0;5.0;14.0;0.28;0.3;;0.045;0.357;;0.086
AIRBUS SE;EUR;127257000000.0;;Stock;Ordinary Shares;Euronext Paris;NL0000235190;50, Industrials;5020, Industrial Goods and Services;502010, Aerospace and Defense;50201010, Aerospace;15.0;4.0;12.0;0.2;;;;0.333;3717000.0;
ARCELORMITTAL SA;EUR;20331000000.0;3,373.201 Ton / Million (USD);Stock;Ordinary Shares;Euronext Amsterdam;LU1598757687;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102010, Iron and Steel;;3.0;10.0;;0.157;;;0.3;386666976.0;
AXA;EUR;77141000000.0;2.54 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Paris;FR0000120628;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance;;9.0;16.0;;0.353;;0.007;0.563;223638.0;0.1
BNP PARIBAS ACT.A;EUR;74838000000.0;;Stock;Ordinary Shares;Euronext Paris;FR0000131104;30, Financials;3010, Banks;301010, Banks;30101010, Banks;24.2;7.0;13.0;0.51;;;0.027;0.538;830000.0;
BOUYGUES;EUR;13729000000.0;716.98 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Paris;FR0000120503;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101010, Construction;;8.0;14.0;;;;;0.571;;
CAPGEMINI;EUR;34711000000.0;22.12 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Paris;FR0000125338;10, Technology;1010, Technology;101010, Software and Computer Services;10101010, Computer Services;52.4;6.0;15.0;0.388;0.273;;0.012;0.4;201053.0;
CARREFOUR;EUR;11156000000.0;;Stock;Ordinary Shares;Euronext Paris;FR0000120172;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201010, Food Retailers and Wholesalers;9.2;7.0;15.0;0.55;0.308;;0.043;0.467;4556990.0;0.158
CREDIT AGRICOLE;EUR;41924000000.0;;Stock;Ordinary Shares;Euronext Paris;FR0000045072;30, Financials;3010, Banks;301010, Banks;30101010, Banks;33.5;10.0;21.0;0.522;0.353;;0.054;0.476;398861.0;0.04
DANONE;EUR;39921000000.0;;Stock;Ordinary Shares;Euronext Paris;FR0000120644;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;;;;;;;;;;
DASSAULT SYSTEMES;EUR;51369000000.0;3.6589 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Paris;FR0014003TT8;10, Technology;1010, Technology;101010, Software and Computer Services;10101015, Software;27.9;6.0;12.0;0.281;0.385;;0.027;0.5;82766.0;
EDENRED;EUR;11656000000.0;6.16 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Paris;FR0010908533;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205015, Transaction Processing Services;22.1;6.0;12.0;0.52;0.37;;0.055;0.5;11713829.0;
ENGIE;EUR;38575000000.0;1,727.98 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Paris;FR0010208488;65, Utilities;6510, Utilities;651020, Gas, Water and Multi-utilities;65102000, Multi-utilities;28.0;7.0;14.0;0.265;0.4;0.019;0.035;0.5;217479000.0;0.054
ESSILORLUXOTTICA;EUR;92903000000.0;13.12 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Paris;FR0000121667;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102015, Medical Supplies;19.2;6.0;14.0;0.6;0.39;;;0.429;2149000.0;
EUROFINS SCIENT.;EUR;11525000000.0;31.9102 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Paris;FR0014000MR3;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102020, Medical Services;;4.0;8.0;0.57;0.21;;;0.5;742007.0;
HERMES INTL;EUR;246399000000.0;;Stock;Ordinary Shares;Euronext Paris;FR0000052292;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204020, Clothing and Accessories;21.0;7.0;14.0;0.67;0.4;;0.069;0.5;209100.0;
KERING;EUR;41957000000.0;39.66 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Paris;FR0000121485;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204020, Clothing and Accessories;13.1;7.0;11.0;0.63;0.42;0.142;0.015;0.636;351130.0;
L'OREAL;EUR;226430000000.0;46.06 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Paris;FR0000120321;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204035, Cosmetics;36.7;7.0;16.0;0.68;0.32;0.007;0.019;0.438;935591.0;
LEGRAND;EUR;25373000000.0;437.52 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Paris;FR0010307819;50, Industrials;5020, Industrial Goods and Services;502020, Electronic and Electrical Equipment;50202010, Electrical Components;22.0;6.0;14.0;;0.25;;0.024;0.429;384000.0;0.066
LVMH;EUR;400569000000.0;1.88 Ton / Million (EUR);Stock;Ordinary Shares;Euronext Paris;FR0000121014;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204020, Clothing and Accessories;;7.0;16.0;0.71;;;0.016;0.438;1939763.0;0.165
