Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
Aker Solutions ASA,3.18 3.17,3.18 3.18,0.01 0.25%,03:02 AM 03/20/2024 03:02:26 AM UTC-0400 20.03.2024,-0.24 -7.02%,0.00 0.00%,-0.08 -2.48%
BW LPG Ltd,10.34 10.48,10.34 10.60,-0.14 -1.34%,04:15 AM 03/20/2024 04:15:01 AM UTC-0400 20.03.2024,-1.43 -11.17%,0.00 0.00%,4.08 55.86%
Det Norske Oljeselskap ASA,23.42 23.31,23.42 23.42,0.11 0.47%,03:02 AM 03/20/2024 03:02:26 AM UTC-0400 20.03.2024,-3.04 -11.52%,0.00 0.00%,1.82 8.45%
DNO International ASA (A),0.80 0.79,0.80 0.80,0.01 1.33%,03:02 AM 03/20/2024 03:02:26 AM UTC-0400 20.03.2024,-0.03 -3.03%,0.00 0.00%,-0.14 -14.85%
Equinor,24.29 24.50,24.16 24.50,-0.21 -0.86%,05:33 AM 03/20/2024 05:33:54 AM UTC-0400 20.03.2024,-4.91 -16.89%,0.00 0.00%,-1.35 -5.29%
Gjensidige Forsikring ASA,14.28 14.30,14.28 14.28,-0.02 -0.14%,03:12 AM 03/20/2024 03:12:59 AM UTC-0400 20.03.2024,-1.29 -7.92%,0.00 0.00%,-0.11 -0.73%
Mowi,17.20 17.38,17.02 17.20,-0.18 -1.01%,05:28 AM 03/20/2024 05:28:37 AM UTC-0400 20.03.2024,0.90 5.56%,0.00 0.00%,1.78 11.63%
Nordic Semiconductor ASA,7.08 7.24,7.08 7.08,-0.16 -2.24%,03:02 AM 03/20/2024 03:02:26 AM UTC-0400 20.03.2024,-3.58 -32.37%,0.00 0.00%,-6.40 -46.12%
Norsk Hydro ASA,5.07 5.00,4.96 5.07,0.07 1.32%,05:31 AM 03/20/2024 05:31:52 AM UTC-0400 20.03.2024,-0.89 -14.91%,0.00 0.00%,-1.15 -18.46%
Norwegian Air Shuttle,1.42 1.41,1.41 1.42,0.01 0.60%,04:59 AM 03/20/2024 04:59:02 AM UTC-0400 20.03.2024,0.47 49.10%,0.00 0.00%,0.52 57.24%
Orkla AS,6.50 6.49,6.50 6.50,0.01 0.18%,03:12 AM 03/20/2024 03:12:59 AM UTC-0400 20.03.2024,-0.04 -0.59%,0.00 0.00%,0.33 5.21%
Otello Corporation ASA,0.66 0.68,0.66 0.66,-0.02 -2.93%,03:12 AM 03/20/2024 03:12:59 AM UTC-0400 20.03.2024,-0.03 -3.95%,0.00 0.00%,0.01 1.64%
Petroleum Geo-Services ASA,0.62 0.62,0.62 0.62,0.00 -0.58%,03:02 AM 03/20/2024 03:02:26 AM UTC-0400 20.03.2024,-0.16 -22.25%,0.00 0.00%,-0.29 -34.33%
REC Silicon ASA,0.82 0.82,0.82 0.82,-0.01 -0.75%,03:12 AM 03/20/2024 03:12:59 AM UTC-0400 20.03.2024,-0.20 -17.49%,0.00 0.00%,-0.45 -31.75%
Royal Caribbean Cruises Ltd.,118.60 118.50,118.60 118.60,0.10 0.08%,03:06 AM 03/20/2024 03:06:16 AM UTC-0400 20.03.2024,7.16 5.91%,32.31 33.67%,66.35 107.21%
Schibsted ASA,27.42 28.36,27.42 27.42,-0.94 -3.31%,03:02 AM 03/20/2024 03:02:26 AM UTC-0400 20.03.2024,0.69 2.61%,0.00 0.00%,8.96 49.23%
Storebrand AsaShs,8.46 8.44,8.46 8.46,0.02 0.24%,03:02 AM 03/20/2024 03:02:26 AM UTC-0400 20.03.2024,0.69 8.83%,0.00 0.00%,1.83 27.23%
Subsea 7 S.A.,14.82 14.74,14.82 14.82,0.08 0.51%,03:02 AM 03/20/2024 03:02:26 AM UTC-0400 20.03.2024,1.36 10.67%,0.00 0.00%,3.16 28.99%
Telenor ASA,10.05 10.13,10.00 10.11,-0.09 -0.84%,05:04 AM 03/20/2024 05:04:24 AM UTC-0400 20.03.2024,-0.41 -3.96%,0.00 0.00%,-0.56 -5.28%
TGS-Nopec Geophysical Company ASAShs,9.40 9.48,9.40 9.40,-0.08 -0.84%,03:02 AM 03/20/2024 03:02:26 AM UTC-0400 20.03.2024,-1.54 -14.14%,0.00 0.00%,-6.09 -39.44%
Yara International ASA,29.30 29.30,29.29 29.30,0.00 0.00%,05:10 AM 03/20/2024 05:10:11 AM UTC-0400 20.03.2024,-3.57 -11.14%,0.00 0.00%,-10.29 -26.55%
