Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
ABG Sundal Collier ASAShs,0.49 0.50,0.49 0.49,-0.01 -1.31%,04:09 AM 03/21/2024 04:09:18 AM UTC-0400 21.03.2024,-0.08 -14.61%,0.00 0.00%,-0.06 -12.11%
Af Gruppen Asa (A),11.60 11.44,11.60 11.60,0.16 1.40%,04:09 AM 03/21/2024 04:09:18 AM UTC-0400 21.03.2024,-0.04 -0.39%,0.00 0.00%,-2.02 -16.50%
Aker ASAShs -A-,52.75 51.25,52.75 52.75,1.50 2.93%,03:01 AM 03/21/2024 03:01:47 AM UTC-0400 21.03.2024,-2.70 -4.74%,0.00 0.00%,-3.65 -6.30%
Aker Solutions ASA,3.18 3.18,3.18 3.18,0.00 0.13%,03:01 AM 03/21/2024 03:01:47 AM UTC-0400 21.03.2024,-0.24 -7.02%,0.00 0.00%,-0.08 -2.48%
American Shipping Company ASA,2.22 2.16,2.22 2.22,0.07 3.02%,04:09 AM 03/21/2024 04:09:18 AM UTC-0400 21.03.2024,-0.02 -0.86%,0.00 0.00%,-1.32 -36.46%
Atea ASA,11.06 10.96,11.06 11.06,0.10 0.91%,03:01 AM 03/21/2024 03:01:48 AM UTC-0400 21.03.2024,-0.12 -1.11%,0.00 0.00%,0.52 5.11%
Avance Gas Holding Ltd,10.58 10.28,10.58 10.58,0.30 2.92%,04:15 AM 03/21/2024 04:15:01 AM UTC-0400 21.03.2024,-3.73 -28.78%,0.00 0.00%,2.83 44.22%
Bakkafrost,59.75 58.00,59.75 59.75,1.75 3.02%,03:01 AM 03/21/2024 03:01:47 AM UTC-0400 21.03.2024,12.27 27.10%,0.00 0.00%,-0.05 -0.09%
Biotec Pharmacon ASAShs,2.34 2.42,2.34 2.34,-0.08 -3.31%,04:09 AM 03/21/2024 04:09:18 AM UTC-0400 21.03.2024,-0.33 -9.41%,0.00 0.00%,-0.09 -2.67%
BW LPG Ltd,10.46 10.20,10.39 10.46,0.26 2.55%,04:15 AM 03/21/2024 04:15:01 AM UTC-0400 21.03.2024,-2.77 -20.72%,0.00 0.00%,3.34 45.91%
Det Norske Oljeselskap ASA,23.56 23.34,23.36 23.56,0.22 0.94%,04:00 AM 03/21/2024 04:00:59 AM UTC-0400 21.03.2024,-3.04 -11.52%,0.00 0.00%,1.82 8.45%
DNO International ASA (A),0.80 0.80,0.80 0.80,0.00 -0.31%,03:01 AM 03/21/2024 03:01:48 AM UTC-0400 21.03.2024,-0.08 -9.09%,0.00 0.00%,-0.12 -13.09%
Entra ASA Unitary 144A-Reg S,9.45 9.19,9.28 9.45,0.26 2.77%,04:15 AM 03/21/2024 04:15:01 AM UTC-0400 21.03.2024,0.52 5.54%,0.00 0.00%,1.03 11.61%
Equinor,24.86 24.50,24.68 24.86,0.37 1.49%,03:45 AM 03/21/2024 03:45:28 AM UTC-0400 21.03.2024,-4.91 -16.89%,0.00 0.00%,-1.35 -5.29%
Gjensidige Forsikring ASA,13.84 14.49,13.55 13.84,-0.65 -4.49%,04:13 AM 03/21/2024 04:13:09 AM UTC-0400 21.03.2024,-1.29 -7.92%,0.00 0.00%,-0.11 -0.73%
Golden Ocean Group Ltd,11.60 11.02,11.60 11.60,0.59 5.31%,04:15 AM 03/21/2024 04:15:01 AM UTC-0400 21.03.2024,3.90 47.14%,0.00 0.00%,3.32 37.41%
Kongsberg Automotive Holding ASA,0.13 0.12,0.13 0.13,0.01 9.19%,04:09 AM 03/21/2024 04:09:18 AM UTC-0400 21.03.2024,-0.02 -12.50%,0.00 0.00%,-0.05 -24.97%
Kongsberg Gruppen ASA,62.75 63.40,62.75 63.50,-0.65 -1.03%,04:09 AM 03/21/2024 04:09:47 AM UTC-0400 21.03.2024,22.24 55.38%,0.00 0.00%,26.82 75.38%
Mowi,17.32 17.28,17.32 17.32,0.04 0.23%,03:27 AM 03/21/2024 03:27:40 AM UTC-0400 21.03.2024,0.90 5.56%,0.00 0.00%,1.78 11.63%
Nordic Nanovector ASA,0.07 0.07,0.07 0.07,0.00 1.03%,03:01 AM 03/21/2024 03:01:47 AM UTC-0400 21.03.2024,0.01 9.76%,0.00 0.00%,0.02 36.36%
