Company,Industry,Ticker,Weight (%)
Altri,Basic Resources,ALTR,2.03
Banco Comercial Português,Banks,BCP,17.04
Corticeira Amorim,Industrial Goods & Services,COR,2.62
CTT Correios de Portugal,Industrial Goods & Services,CTT,3.02
EDP Renováveis,Utilities,EDPR,9.69
Energias de Portugal,Utilities,EDP,10.36
Galp Energia,Energy,GALP,11.50
Ibersol,Travel & Leisure,IBS,0.93
Jerónimo Martins,"Personal Care, Drug & Grocery Stores",JMT,10.55
Mota-Engil,Construction & Materials,EGL,2.22
NOS,Telecommunications,NOS,9.01
Novabase,Technology,NBA,0.24
Pharol,Telecommunications,PHR,0.93
Redes Energéticas Nacionais,Utilities,RENE,4.75
Semapa,Basic Resources,SEM,2.77
Sonae,"Personal Care, Drug & Grocery Stores",SON,5.03
Sonae Capital,Financial Services,SONC,0.50
The Navigator Company,Basic Resources,NVG,6.81
