Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
ALTRI SGPS SAShs,4.79 4.65,4.79 4.79,0.14 3.01%,04:11 AM 03/20/2024 04:11:21 AM UTC-0400 20.03.2024,0.05 1.20%,0.00 0.00%,0.71 18.62%
Cofina SGPS SA,0.42 0.41,0.42 0.42,0.01 2.44%,04:11 AM 03/20/2024 04:11:21 AM UTC-0400 20.03.2024,0.01 1.94%,0.00 0.00%,0.17 66.01%
"EDP Renovaveis, SA",12.64 12.97,12.64 12.64,-0.33 -2.55%,03:12 AM 03/20/2024 03:12:59 AM UTC-0400 20.03.2024,-3.89 -21.87%,0.00 0.00%,-6.09 -30.47%
GALP Energia,15.25 15.29,15.25 15.25,-0.04 -0.26%,03:02 AM 03/20/2024 03:02:26 AM UTC-0400 20.03.2024,1.29 9.59%,0.00 0.00%,4.79 48.14%
Grupo EDP S.A. (Electricidade de Portugal S.A.),3.52 3.49,3.52 3.52,0.03 0.83%,03:01 AM 03/20/2024 03:01:01 AM UTC-0400 20.03.2024,-0.90 -19.82%,0.00 0.00%,-1.17 -24.31%
Jeronimo Martins SGPS S.A.,19.00 19.02,18.86 19.00,-0.02 -0.11%,04:48 AM 03/20/2024 04:48:21 AM UTC-0400 20.03.2024,-3.95 -17.23%,0.00 0.00%,-1.59 -7.73%
Mota-Engil SGPS SA,4.63 4.76,4.63 4.63,-0.13 -2.63%,03:12 AM 03/20/2024 03:12:59 AM UTC-0400 20.03.2024,1.70 40.48%,0.00 0.00%,4.43 301.91%
"NOS SGPS, SA",3.40 3.41,3.40 3.40,-0.01 -0.29%,03:02 AM 03/20/2024 03:02:26 AM UTC-0400 20.03.2024,0.18 5.57%,0.00 0.00%,-0.87 -20.29%
Portugal Telecom S.A.,0.05 0.05,0.05 0.05,0.00 0.00%,03:02 AM 03/20/2024 03:02:26 AM UTC-0400 20.03.2024,0.01 27.55%,0.00 0.00%,0.00 -5.84%
"REN - Redes Energeticas Nacionais SGPS, SAShs",2.13 2.12,2.13 2.13,0.02 0.71%,04:11 AM 03/20/2024 04:11:21 AM UTC-0400 20.03.2024,-0.05 -2.08%,0.00 0.00%,-0.14 -5.43%
Sociedade de Investimento e Gestao SGPS SA SEMAPA,13.40 13.44,13.40 13.40,-0.04 -0.30%,03:12 AM 03/20/2024 03:12:59 AM UTC-0400 20.03.2024,0.62 4.75%,0.00 0.00%,0.00 0.00%
Sonae SGPS SA,0.86 0.86,0.86 0.86,0.00 0.00%,03:02 AM 03/20/2024 03:02:26 AM UTC-0400 20.03.2024,-0.02 -2.33%,0.00 0.00%,-0.12 -11.65%
Sonaecom SGPS SA,2.45 2.45,2.45 2.45,0.00 0.00%,03:12 AM 03/20/2024 03:12:59 AM UTC-0400 20.03.2024,-0.18 -6.69%,0.00 0.00%,0.00 0.00%
The Navigator Company,3.76 3.75,3.76 3.76,0.01 0.32%,03:02 AM 03/20/2024 03:02:26 AM UTC-0400 20.03.2024,0.21 6.00%,0.00 0.00%,0.52 15.81%
