Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
ABN Amro,15.22 15.22,0.00 0.00,-0.12 -0.78%,12:35 PM 03/26/2024 12:35:09 PM UTC-0400 25.03.2024,1.92 14.21%,0.00 0.00%,0.44 2.90%
Adyen B.V. Parts Sociales,"1,520.40 1,520.40",0.00 0.00,20.40 1.36%,12:36 PM 03/26/2024 12:36:52 PM UTC-0400 25.03.2024,337.20 28.87%,855.10 131.53%,78.80 5.52%
Ahold Delhaize,27.16 27.16,0.00 0.00,-0.17 -0.60%,12:36 PM 03/26/2024 12:36:39 PM UTC-0400 25.03.2024,1.06 4.04%,-2.01 -6.88%,-3.60 -11.67%
Akzo Nobel,67.54 67.54,0.00 0.00,0.96 1.44%,12:36 PM 03/26/2024 12:36:23 PM UTC-0400 25.03.2024,-8.46 -11.38%,0.00 0.00%,-2.90 -4.22%
ArcelorMittal,25.20 25.20,0.00 0.00,0.21 0.82%,12:37 PM 03/26/2024 12:37:28 PM UTC-0400 25.03.2024,-1.21 -4.62%,1.55 6.62%,-1.37 -5.22%
ASML NV,913.00 913.00,0.00 0.00,6.90 0.76%,12:38 PM 03/26/2024 12:38:58 PM UTC-0400 25.03.2024,239.70 35.06%,368.10 66.30%,322.50 53.68%
ASR Nederland N.V,43.88 43.88,0.00 0.00,0.16 0.37%,12:35 PM 03/26/2024 12:35:08 PM UTC-0400 25.03.2024,-0.67 -1.59%,0.00 0.00%,3.52 9.24%
Heineken,86.60 86.60,0.00 0.00,0.22 0.25%,12:35 PM 03/26/2024 12:35:45 PM UTC-0400 25.03.2024,-7.50 -8.17%,0.00 0.00%,-11.74 -12.22%
IMCD,163.50 163.50,0.00 0.00,-4.10 -2.45%,12:35 PM 03/26/2024 12:35:13 PM UTC-0400 25.03.2024,3.75 2.43%,0.00 0.00%,10.65 7.23%
ING Group,14.70 14.70,0.00 0.00,0.04 0.29%,12:35 PM 03/26/2024 12:35:07 PM UTC-0400 25.03.2024,0.91 6.69%,2.18 17.66%,3.42 30.84%
KPN,3.39 3.39,0.00 0.00,0.02 0.45%,12:35 PM 03/26/2024 12:35:01 PM UTC-0400 25.03.2024,0.28 8.97%,0.00 0.00%,0.15 4.57%
NN Group,41.95 41.95,0.00 0.00,0.28 0.67%,12:35 PM 03/26/2024 12:35:13 PM UTC-0400 25.03.2024,6.00 17.04%,0.00 0.00%,7.66 22.83%
Philips,18.42 18.42,0.00 0.00,-0.16 -0.87%,12:35 PM 03/26/2024 12:35:11 PM UTC-0400 25.03.2024,-2.09 -10.00%,-11.29 -38.79%,4.15 28.35%
Randstad,51.02 51.02,0.00 0.00,-0.24 -0.47%,12:35 PM 03/26/2024 12:35:26 PM UTC-0400 25.03.2024,-6.00 -10.60%,0.00 0.00%,-7.28 -12.58%
RELX,40.03 40.03,0.00 0.00,-0.38 -0.94%,12:35 PM 03/26/2024 12:35:06 PM UTC-0400 25.03.2024,4.22 11.85%,0.00 0.00%,10.58 36.18%
Shell,31.19 31.19,0.00 0.00,0.27 0.86%,12:37 PM 03/26/2024 12:37:26 PM UTC-0400 25.03.2024,0.73 2.44%,0.00 0.00%,4.61 17.67%
Wolters Kluwer,144.85 144.85,0.00 0.00,-1.80 -1.23%,12:35 PM 03/26/2024 12:35:22 PM UTC-0400 25.03.2024,17.45 13.51%,0.00 0.00%,31.15 26.97%
