Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
AB InBev SA-NV (Anheuser-Busch InBev),55.48 55.16,55.17 55.48,0.32 0.58%,06:12 AM 03/26/2024 06:12:49 AM UTC-0400 26.03.2024,-3.57 -6.11%,1.69 3.18%,-2.77 -4.81%
Ackermans & van Haaren S.A.,158.80 158.10,158.80 158.80,0.70 0.44%,03:05 AM 03/26/2024 03:05:02 AM UTC-0400 26.03.2024,-2.00 -1.28%,0.00 0.00%,2.90 1.91%
ageas NV,41.85 41.54,41.39 41.85,0.31 0.75%,02:05 PM 03/26/2024 02:05:26 PM UTC-0400 26.03.2024,0.81 2.08%,0.00 0.00%,-0.21 -0.53%
Ahold Delhaize (Ahold),27.09 27.15,27.09 27.09,-0.06 -0.22%,03:17 AM 03/26/2024 03:17:56 AM UTC-0400 26.03.2024,1.06 4.04%,-2.01 -6.88%,-3.60 -11.67%
Cofinimmo S.A.,58.30 58.50,58.30 58.30,-0.20 -0.34%,03:05 AM 03/26/2024 03:05:01 AM UTC-0400 26.03.2024,-2.75 -3.91%,0.00 0.00%,-14.45 -17.63%
D'Ieteren NV,203.80 204.60,203.80 203.80,-0.80 -0.39%,03:05 AM 03/26/2024 03:05:02 AM UTC-0400 26.03.2024,7.40 4.22%,0.00 0.00%,8.70 5.00%
Elia System Operator SA-NV,100.70 100.40,100.70 100.70,0.30 0.30%,04:21 AM 03/26/2024 04:21:28 AM UTC-0400 26.03.2024,-9.50 -8.50%,0.00 0.00%,-13.10 -11.35%
Engie (ex GDF Suez),15.79 15.60,15.40 15.79,0.19 1.22%,02:15 PM 03/26/2024 02:15:50 PM UTC-0400 26.03.2024,-0.81 -5.01%,0.39 2.62%,1.47 10.56%
Etablissementen Franz Colruyt NV,41.80 42.30,41.80 41.80,-0.50 -1.18%,03:05 AM 03/26/2024 03:05:01 AM UTC-0400 26.03.2024,-0.42 -1.03%,0.00 0.00%,14.55 56.73%
Groupe Bruxelles Lambert S.A. (GBL),69.58 69.20,69.58 69.58,0.38 0.55%,03:05 AM 03/26/2024 03:05:01 AM UTC-0400 26.03.2024,-0.62 -0.87%,0.00 0.00%,-6.02 -7.86%
KBC Groep N.V.,68.78 68.14,68.78 68.78,0.64 0.94%,03:05 AM 03/26/2024 03:05:02 AM UTC-0400 26.03.2024,10.62 18.35%,0.00 0.00%,6.22 9.99%
NV Bekaert SA,47.28 46.38,47.28 47.28,0.90 1.94%,03:05 AM 03/26/2024 03:05:01 AM UTC-0400 26.03.2024,0.08 0.18%,0.00 0.00%,5.58 13.92%
Proximus (ex Belgacom),7.35 7.35,7.31 7.35,0.00 0.00%,12:29 PM 03/26/2024 12:29:15 PM UTC-0400 26.03.2024,-1.00 -11.72%,0.00 0.00%,-1.36 -15.28%
Solvay S.A.,24.29 24.52,24.29 24.52,-0.23 -0.94%,06:36 AM 03/26/2024 06:36:04 AM UTC-0400 26.03.2024,-2.08 -7.93%,3.06 14.52%,4.13 20.60%
Telenet Group Holding N.V.,0.00 0.00,0.00 0.00,0.00 0.00%,-,0.42 2.03%,0.00 0.00%,7.84 59.13%
ThromboGenics NV,0.00 0.00,0.00 0.00,0.00 0.00%,04:21 AM 03/26/2024 04:21:28 AM UTC-0400 26.03.2024,-0.01 -46.81%,0.00 0.00%,-1.15 -99.13%
UCB S.A.,115.05 115.25,115.05 115.05,-0.20 -0.17%,03:01 AM 03/26/2024 03:01:42 AM UTC-0400 26.03.2024,30.22 39.93%,0.00 0.00%,26.78 33.85%
