Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
Air Liquide,191.22 191.22,0.00 0.00,0.74 0.39%,12:35 PM 03/26/2024 12:35:00 PM UTC-0400 25.03.2024,16.34 9.21%,33.16 20.66%,42.52 28.13%
Airbus,170.12 170.12,0.00 0.00,0.22 0.13%,12:36 PM 03/26/2024 12:36:33 PM UTC-0400 25.03.2024,29.86 21.41%,45.42 36.66%,48.30 39.92%
ArcelorMittal,25.20 25.20,0.00 0.00,0.21 0.82%,12:37 PM 03/26/2024 12:37:28 PM UTC-0400 25.03.2024,-1.21 -4.62%,1.55 6.62%,-1.37 -5.22%
AXA,34.58 34.58,0.00 0.00,0.10 0.28%,12:39 PM 03/26/2024 12:39:53 PM UTC-0400 25.03.2024,5.01 16.90%,5.83 20.23%,7.15 26.00%
BNP Paribas,62.49 62.49,0.00 0.00,-0.31 -0.49%,12:36 PM 03/26/2024 12:36:36 PM UTC-0400 25.03.2024,-0.37 -0.59%,1.90 3.13%,8.17 15.00%
Bouygues,37.65 37.65,0.00 0.00,-0.11 -0.29%,12:35 PM 03/26/2024 12:35:13 PM UTC-0400 25.03.2024,3.78 11.02%,4.74 14.22%,6.57 20.85%
Cap Gemini,214.00 214.00,0.00 0.00,-1.70 -0.79%,12:35 PM 03/26/2024 12:35:09 PM UTC-0400 25.03.2024,27.15 14.41%,48.85 29.30%,48.15 28.75%
Carrefour,16.00 16.00,0.00 0.00,-0.07 -0.44%,12:35 PM 03/26/2024 12:35:29 PM UTC-0400 25.03.2024,-0.69 -4.15%,-0.51 -3.10%,-1.98 -11.06%
Crédit Agricole,13.40 13.40,0.00 0.00,0.00 -0.01%,12:35 PM 03/26/2024 12:35:19 PM UTC-0400 25.03.2024,0.55 4.26%,1.90 16.50%,3.14 30.58%
Danone,59.32 59.32,0.00 0.00,-0.25 -0.42%,12:35 PM 03/26/2024 12:35:25 PM UTC-0400 25.03.2024,0.83 1.42%,6.13 11.56%,2.94 5.23%
Engie,15.52 15.52,0.00 0.00,0.09 0.56%,12:35 PM 03/26/2024 12:35:41 PM UTC-0400 25.03.2024,-0.81 -5.01%,0.39 2.62%,1.47 10.56%
EssilorLuxottica,209.65 209.65,0.00 0.00,0.95 0.46%,12:39 PM 03/26/2024 12:39:53 PM UTC-0400 25.03.2024,28.91 15.91%,42.69 25.42%,47.35 29.00%
Eurofins Scientific,55.92 55.92,0.00 0.00,-0.04 -0.07%,12:35 PM 03/26/2024 12:35:15 PM UTC-0400 25.03.2024,-2.90 -4.91%,1.30 2.37%,-4.86 -7.96%
Hermès,"2,403.00 2,403.00",0.00 0.00,17.00 0.71%,12:36 PM 03/26/2024 12:36:31 PM UTC-0400 25.03.2024,469.30 24.18%,617.50 34.44%,636.50 35.88%
Kering,353.75 353.75,0.00 0.00,-4.30 -1.20%,12:35 PM 03/26/2024 12:35:05 PM UTC-0400 25.03.2024,-26.50 -6.66%,-89.15 -19.36%,-200.70 -35.09%
