Index,Company,Ticker
AEX,Adyen,ADYEN
AEX,Aegon,AGN
AEX,Ahold Delhaize,AD
AEX,AkzoNobel,AKZA
AEX,ArcelorMittal,MT
AEX,ASM International,ASM
AEX,ASML Holding,ASML
AEX,Universal Music Group,UMG
AEX,BE Semiconductors,BESI
AEX,DSM Firmenich AG,DSFIR
AEX,Heineken,HEIA
AEX,IMCD,IMCD
AEX,ING Group,INGA
AEX,Just Eat Takeaway,TKWY
AEX,KPN,KPN
AEX,NN Group,NN
AEX,Philips,PHIA
AEX,Prosus,PRX
AEX,Randstad,RAND
AEX,RELX,REN
AEX,Shell plc,SHELL
AEX,Signify,LIGHT
AEX,Unibail-Rodamco-Westfield,URW
AEX,Unilever,UNA
AEX,Wolters Kluwer,WKL
BEL_20,AB InBev,ABI
BEL_20,Ackermans & van Haaren,ACKB
BEL_20,Aedifica,AED
BEL_20,Ageas,AGS
BEL_20,Aperam,APAM
BEL_20,arGEN-X,ARGX
BEL_20,Cofinimmo,COFB
BEL_20,Colruyt,COLR
BEL_20,Elia,ELI
BEL_20,Galapagos,GLPG
BEL_20,GBL,GBLB
BEL_20,KBC,KBC
BEL_20,Melexis,MELE
BEL_20,Proximus Group,PROX
BEL_20,Sofina,SOF
BEL_20,Solvay,SOLB
BEL_20,Telenet Group,TNET
BEL_20,UCB,UCB
BEL_20,Umicore,UMI
BEL_20,WDP,WDP
CAC_40,Air Liquide,AI.PA
CAC_40,Airbus,AIR.PA
CAC_40,Alstom,ALO.PA
CAC_40,ArcelorMittal,MT.AS
CAC_40,AXA,CS.PA
CAC_40,BNP Paribas,BNP.PA
CAC_40,Bouygues,EN.PA
CAC_40,Capgemini,CAP.PA
CAC_40,Carrefour,CA.PA
CAC_40,Crédit Agricole,ACA.PA
CAC_40,Danone,BN.PA
CAC_40,Dassault Systèmes,DSY.PA
CAC_40,Edenred,EDEN.PA
CAC_40,Engie,ENGI.PA
CAC_40,EssilorLuxottica,EL.PA
CAC_40,Eurofins Scientific,ERF.PA
CAC_40,Hermès,RMS.PA
CAC_40,Kering,KER.PA
CAC_40,L'Oréal,OR.PA
CAC_40,Legrand,LR.PA
CAC_40,LVMH,MC.PA
CAC_40,Michelin,ML.PA
CAC_40,Orange,ORA.PA
CAC_40,Pernod Ricard,RI.PA
CAC_40,Publicis,PUB.PA
CAC_40,Renault,RNO.PA
CAC_40,Safran,SAF.PA
CAC_40,Saint-Gobain,SGO.PA
CAC_40,Sanofi,SAN.PA
CAC_40,Schneider Electric,SU.PA
CAC_40,Société Générale,GLE.PA
CAC_40,Stellantis,STLAP.PA
CAC_40,STMicroelectronics,STMPA.PA
CAC_40,Teleperformance,TEP.PA
CAC_40,Thales,HO.PA
CAC_40,TotalEnergies,TTE.PA
CAC_40,Unibail-Rodamco-Westfield,URW.PA
CAC_40,Veolia,VIE.PA
CAC_40,Vinci,DG.PA
CAC_40,Worldline,WLN.PA
OBX,Aker BP,AKRBP
OBX,BW LPG,BWLPG
OBX,DNB Bank,DNB
OBX,Equinor,EQNR
OBX,Frontline,FRO
OBX,Golden Ocean Group,GOGL
OBX,Hafnia Limited,HAFNI
OBX,Höegh Autoliners ASA,HAUTO
OBX,Kongsberg Gruppen,KOG
OBX,Mowi,MOWI
OBX,MPC Container Ships,MPCC
OBX,NEL,NEL
