MNEM code,Company,Domicile
Euronext Dublin : A5G,AIB Group,Ireland
Euronext Dublin : BIRG,Bank of Ireland,Ireland
Euronext Dublin : C5H,Cairn Homes,Ireland
Euronext Dublin : CRG,CRH,Ireland
Euronext Dublin : DHG,Dalata Hotel Group,Ireland
Euronext Dublin : EG7,FBD Holdings,Ireland
Euronext Dublin : FLTR,Flutter Entertainment,Ireland
Euronext Dublin : GL9,Glanbia,Ireland
Euronext Dublin : GVR,Glenveagh Properties,Ireland
Euronext Dublin : GRP,Greencoat Renewables,Ireland
Euronext Dublin : IR5B,Irish Continental Group,Ireland
Euronext Dublin : IRES,Irish Residential Properties REIT,Ireland
Euronext Dublin : KRZ,Kerry Group,Ireland
Euronext Dublin : KRX,Kingspan Group,Ireland
Euronext Dublin : MLC,Malin Corp.,Ireland
Euronext Dublin : OIZ,Origin Enterprises,Ireland
Euronext Dublin : PTSB,Permanent TSB,Ireland
Euronext Dublin : RY4C,Ryanair Holdings,Ireland
Euronext Dublin : SK3,Smurfit Kappa,Ireland
Euronext Dublin : UPR,Uniphar,Ireland
