Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
Aker Solutions ASA,3.25 3.20,3.25 3.25,0.05 1.63%,03:05 AM 03/26/2024 03:05:30 AM UTC-0400 26.03.2024,-0.45 -12.18%,0.00 0.00%,-0.25 -7.29%
BW LPG Ltd,10.37 10.28,10.24 10.37,0.09 0.88%,12:15 PM 03/26/2024 12:15:01 PM UTC-0400 26.03.2024,-3.62 -25.49%,0.00 0.00%,3.20 43.26%
Det Norske Oljeselskap ASA,23.64 23.66,23.64 23.72,-0.02 -0.08%,06:17 AM 03/26/2024 06:17:41 AM UTC-0400 26.03.2024,-2.76 -10.49%,0.00 0.00%,1.36 6.13%
DNO International ASA (A),0.81 0.80,0.81 0.81,0.02 2.07%,03:05 AM 03/26/2024 03:05:31 AM UTC-0400 26.03.2024,-0.07 -8.31%,0.00 0.00%,-0.17 -17.70%
Equinor,24.72 25.14,24.53 25.15,-0.42 -1.67%,12:54 PM 03/26/2024 12:54:30 PM UTC-0400 26.03.2024,-4.42 -15.24%,0.00 0.00%,-1.13 -4.40%
Gjensidige Forsikring ASA,13.57 13.49,13.57 13.57,0.08 0.59%,04:06 AM 03/26/2024 04:06:32 AM UTC-0400 26.03.2024,-1.24 -7.88%,0.00 0.00%,-1.19 -7.59%
Mowi,16.82 17.10,16.81 17.10,-0.29 -1.67%,09:51 AM 03/26/2024 09:51:54 AM UTC-0400 26.03.2024,1.62 10.40%,0.00 0.00%,1.05 6.52%
Nordic Semiconductor ASA,7.33 7.34,7.33 7.33,-0.01 -0.14%,03:05 AM 03/26/2024 03:05:31 AM UTC-0400 26.03.2024,-3.63 -33.06%,0.00 0.00%,-6.65 -47.48%
Norsk Hydro ASA,5.18 5.10,5.15 5.19,0.08 1.57%,09:23 AM 03/26/2024 09:23:10 AM UTC-0400 26.03.2024,-0.89 -14.52%,0.00 0.00%,-1.20 -18.63%
Norwegian Air Shuttle,1.39 1.39,1.36 1.40,0.00 -0.07%,12:05 PM 03/26/2024 12:05:05 PM UTC-0400 26.03.2024,0.45 46.27%,0.00 0.00%,0.50 54.10%
Orkla AS,6.54 6.50,6.54 6.54,0.04 0.58%,04:06 AM 03/26/2024 04:06:32 AM UTC-0400 26.03.2024,-0.06 -0.85%,0.00 0.00%,0.28 4.30%
Otello Corporation ASA,0.66 0.68,0.66 0.66,-0.01 -2.07%,04:06 AM 03/26/2024 04:06:32 AM UTC-0400 26.03.2024,-0.04 -5.03%,0.00 0.00%,0.00 -0.15%
Petroleum Geo-Services ASA,0.67 0.63,0.67 0.67,0.04 5.65%,03:05 AM 03/26/2024 03:05:30 AM UTC-0400 26.03.2024,-0.20 -27.00%,0.00 0.00%,-0.27 -32.60%
REC Silicon ASA,0.90 0.93,0.90 0.90,-0.03 -3.29%,04:06 AM 03/26/2024 04:06:32 AM UTC-0400 26.03.2024,-0.19 -16.74%,0.00 0.00%,-0.45 -31.87%
Royal Caribbean Cruises Ltd.,126.35 126.80,125.15 126.35,-0.45 -0.35%,12:10 PM 03/26/2024 12:10:54 PM UTC-0400 26.03.2024,7.75 6.04%,44.77 49.07%,74.26 120.28%
Schibsted ASA,27.28 28.50,27.28 27.28,-1.22 -4.28%,03:05 AM 03/26/2024 03:05:30 AM UTC-0400 26.03.2024,2.56 10.01%,0.00 0.00%,9.52 51.16%
Storebrand AsaShs,8.48 8.46,8.48 8.48,0.02 0.21%,03:05 AM 03/26/2024 03:05:30 AM UTC-0400 26.03.2024,0.73 9.32%,0.00 0.00%,1.69 24.71%
Subsea 7 S.A.,14.74 14.62,14.74 14.74,0.12 0.79%,03:05 AM 03/26/2024 03:05:30 AM UTC-0400 26.03.2024,0.93 7.07%,0.00 0.00%,2.63 23.13%
Telenor ASA,10.21 10.26,10.21 10.32,-0.05 -0.49%,05:05 AM 03/26/2024 05:05:25 AM UTC-0400 26.03.2024,-0.15 -1.44%,0.00 0.00%,-0.37 -3.44%
TGS-Nopec Geophysical Company ASAShs,10.16 9.63,10.14 10.16,0.53 5.50%,02:43 PM 03/26/2024 02:43:45 PM UTC-0400 26.03.2024,-2.60 -21.76%,0.00 0.00%,-6.61 -41.42%
Yara International ASA,29.21 29.17,28.89 29.21,0.04 0.14%,09:10 AM 03/26/2024 09:10:16 AM UTC-0400 26.03.2024,-2.82 -8.82%,0.00 0.00%,-11.35 -28.02%
