Company,ICBsubsector,Ticker symbol,Index weighting (%)[2]
Aker BP,oil: crude producers,OSE : AKRBP,7.70
BW LPG,marine transportation,OSE : BWLPG,0.91
DNB Bank,banks,OSE : DNB,9.89
Equinor,integrated oil and gas,OSE : EQNR,15.22
Frontline,marine transportation,OSE : FRO,2.07
Golden Ocean Group,marine transportation,OSE : GOGL,0.97
Hafnia Limited,marine transportation,OSE : HAFNI,1.71
Höegh Autoliners ASA,marine transportation,OSE : HAUTO,0.96
Kongsberg Gruppen,diversified industrials,OSE : KOG,5.72
Mowi,"farming, fishing, ranching and plantations",OSE : MOWI,8.00
MPC Container Ships,marine transportation,OSE : MPCC,0.41
NEL,renewable energy equipment,OSE : NEL,0.71
Nordic Semiconductor,semiconductors,OSE : NOD,1.31
Norsk Hydro,aluminum,OSE : NHY,7.11
Norwegian Air Shuttle,airlines,OSE : NAS,1.09
Orkla,food products,OSE : ORK,5.17
PGS,oil equipment and services,OSE : PGS,0.62
SalMar,"farming, fishing, ranching and plantations",OSE : SALM,4.68
Storebrand,life insurance,OSE : STB,4.16
Subsea 7,oil equipment and services,OSE : SUBC,3.58
Telenor,telecommunications services,OSE : TEL,6.66
TGS ASA,oil equipment and services,OSE : TGS,1.30
Tomra Systems,machinery: industrial,OSE : TOM,3.11
Vår Energi ASA,offshore drilling and other services,OSE : VAR,1.93
Yara International,fertilizers,OSE : YAR,5.03
