Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
ABG Sundal Collier ASAShs,0.51 0.51,0.51 0.51,0.00 0.00%,04:21 AM 03/26/2024 04:21:28 AM UTC-0400 26.03.2024,-0.11 -20.07%,0.00 0.00%,-0.07 -12.79%
Af Gruppen Asa (A),11.94 11.60,11.94 11.94,0.34 2.93%,04:21 AM 03/26/2024 04:21:28 AM UTC-0400 26.03.2024,-0.22 -2.11%,0.00 0.00%,-2.34 -18.63%
Aker ASAShs -A-,53.20 52.10,53.20 53.20,1.10 2.11%,03:05 AM 03/26/2024 03:05:31 AM UTC-0400 26.03.2024,-3.55 -6.14%,0.00 0.00%,-5.00 -8.43%
Aker Solutions ASA,3.25 3.20,3.25 3.25,0.05 1.63%,03:05 AM 03/26/2024 03:05:30 AM UTC-0400 26.03.2024,-0.45 -12.18%,0.00 0.00%,-0.25 -7.29%
American Shipping Company ASA,2.33 2.29,2.33 2.33,0.04 1.53%,04:21 AM 03/26/2024 04:21:28 AM UTC-0400 26.03.2024,-0.16 -6.93%,0.00 0.00%,-1.43 -39.94%
Atea ASA,10.94 11.00,10.94 10.94,-0.06 -0.55%,03:05 AM 03/26/2024 03:05:31 AM UTC-0400 26.03.2024,-0.24 -2.19%,0.00 0.00%,0.22 2.10%
Avance Gas Holding Ltd,10.60 10.40,10.32 10.60,0.20 1.92%,10:29 AM 03/26/2024 10:29:01 AM UTC-0400 26.03.2024,-4.49 -32.73%,0.00 0.00%,2.99 47.80%
Bakkafrost,58.60 58.85,58.60 58.95,-0.25 -0.42%,11:23 AM 03/26/2024 11:23:59 AM UTC-0400 26.03.2024,10.88 24.27%,0.00 0.00%,-1.70 -2.96%
Biotec Pharmacon ASAShs,2.39 2.43,2.39 2.39,-0.04 -1.65%,04:21 AM 03/26/2024 04:21:28 AM UTC-0400 26.03.2024,-0.49 -13.42%,0.00 0.00%,-0.13 -3.93%
BW LPG Ltd,10.37 10.28,10.24 10.37,0.09 0.88%,12:15 PM 03/26/2024 12:15:01 PM UTC-0400 26.03.2024,-3.62 -25.49%,0.00 0.00%,3.20 43.26%
Det Norske Oljeselskap ASA,23.64 23.66,23.64 23.72,-0.02 -0.08%,06:17 AM 03/26/2024 06:17:41 AM UTC-0400 26.03.2024,-2.76 -10.49%,0.00 0.00%,1.36 6.13%
DNO International ASA (A),0.81 0.80,0.81 0.81,0.02 2.07%,03:05 AM 03/26/2024 03:05:31 AM UTC-0400 26.03.2024,-0.07 -8.31%,0.00 0.00%,-0.17 -17.70%
Entra ASA Unitary 144A-Reg S,9.42 9.44,9.32 9.43,-0.02 -0.16%,10:29 AM 03/26/2024 10:29:01 AM UTC-0400 26.03.2024,0.10 1.02%,0.00 0.00%,1.39 16.27%
Equinor,24.72 25.14,24.53 25.15,-0.42 -1.67%,12:54 PM 03/26/2024 12:54:30 PM UTC-0400 26.03.2024,-4.42 -15.24%,0.00 0.00%,-1.13 -4.40%
Gjensidige Forsikring ASA,13.57 13.49,13.57 13.57,0.08 0.59%,04:06 AM 03/26/2024 04:06:32 AM UTC-0400 26.03.2024,-1.24 -7.88%,0.00 0.00%,-1.19 -7.59%
Golden Ocean Group Ltd,11.22 11.44,11.06 11.22,-0.22 -1.88%,10:29 AM 03/26/2024 10:29:01 AM UTC-0400 26.03.2024,2.72 29.96%,0.00 0.00%,3.44 41.22%
