Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
ALTRI SGPS SAShs,5.06 4.93,5.06 5.06,0.13 2.64%,04:21 AM 03/26/2024 04:21:28 AM UTC-0400 26.03.2024,-0.01 -0.31%,0.00 0.00%,0.57 14.27%
Cofina SGPS SA,0.41 0.40,0.41 0.41,0.01 1.50%,04:21 AM 03/26/2024 04:21:28 AM UTC-0400 26.03.2024,0.02 3.96%,0.00 0.00%,0.16 64.06%
"EDP Renovaveis, SA",12.50 12.76,12.50 12.59,-0.26 -2.00%,04:19 AM 03/26/2024 04:19:54 AM UTC-0400 26.03.2024,-5.45 -29.84%,0.00 0.00%,-6.85 -34.84%
GALP Energia,15.14 15.01,15.14 15.14,0.14 0.90%,03:05 AM 03/26/2024 03:05:31 AM UTC-0400 26.03.2024,1.46 10.90%,0.00 0.00%,4.73 46.74%
Grupo EDP S.A. (Electricidade de Portugal S.A.),3.53 3.58,3.53 3.53,-0.06 -1.56%,10:41 AM 03/26/2024 10:41:24 AM UTC-0400 26.03.2024,-1.08 -23.76%,0.00 0.00%,-1.33 -27.82%
Jeronimo Martins SGPS S.A.,18.50 18.52,18.50 18.65,-0.02 -0.11%,04:03 AM 03/26/2024 04:03:27 AM UTC-0400 26.03.2024,-3.98 -17.32%,0.00 0.00%,-2.14 -10.12%
Mota-Engil SGPS SA,4.85 4.86,4.85 4.85,-0.01 -0.21%,04:06 AM 03/26/2024 04:06:32 AM UTC-0400 26.03.2024,2.01 51.48%,0.00 0.00%,4.38 287.65%
"NOS SGPS, SA",3.61 3.50,3.53 3.61,0.11 3.14%,08:30 AM 03/26/2024 08:30:08 AM UTC-0400 26.03.2024,0.21 6.70%,0.00 0.00%,-0.82 -19.42%
Portugal Telecom S.A.,0.05 0.05,0.05 0.05,0.00 0.84%,03:05 AM 03/26/2024 03:05:31 AM UTC-0400 26.03.2024,0.01 34.41%,0.00 0.00%,0.00 -4.58%
"REN - Redes Energeticas Nacionais SGPS, SAShs",2.18 2.17,2.18 2.18,0.01 0.23%,04:21 AM 03/26/2024 04:21:28 AM UTC-0400 26.03.2024,0.03 1.29%,0.00 0.00%,-0.17 -6.56%
Sociedade de Investimento e Gestao SGPS SA SEMAPA,14.44 14.22,14.44 14.44,0.22 1.55%,04:06 AM 03/26/2024 04:06:32 AM UTC-0400 26.03.2024,-0.14 -1.01%,0.00 0.00%,0.00 0.00%
Sonae SGPS SA,0.87 0.86,0.87 0.87,0.00 0.52%,03:05 AM 03/26/2024 03:05:30 AM UTC-0400 26.03.2024,-0.01 -1.12%,0.00 0.00%,-0.11 -11.42%
Sonaecom SGPS SA,2.51 2.45,2.51 2.51,0.06 2.45%,04:06 AM 03/26/2024 04:06:32 AM UTC-0400 26.03.2024,-0.30 -10.95%,0.00 0.00%,0.00 0.00%
The Navigator Company,4.02 3.92,3.98 4.02,0.09 2.40%,09:15 AM 03/26/2024 09:15:02 AM UTC-0400 26.03.2024,0.26 7.45%,0.00 0.00%,0.49 14.75%
