COMPONENT,ISIN,TICKER,TRADING LOCATION,ISSUER COUNTRY,MIC,Subtype,Turnover,Turnover in EUR,Volume,ROA,ROE,ROIC,CCY
ACCOR SA,FR0000120404,AC,Euronext Paris,France,XPAR,Common Stock,44122934.73,44122934.73,1016775.0,4.0,"11,9",8.0,EUR
L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE SA,FR0000120073,AI,Euronext Paris,France,XPAR,Common Stock,117667138.9,117667138.9,609693.0,6.1,12.9,12.1,EUR
AIRBUS SE,NL0000235190,1AIR,Euronext Paris,Netherlands,XPAR,Common Stock,165742457.82,165742457.82,969451.0,2.3,23.5,"13,5",EUR
ARCELORMITTAL SA,LU1598757687,MT,Euronext Amsterdam,Luxembourg,XAMS,Common Stock,44321308.065,44321308.065,1738641.0,2.1,1.8,4.5,EUR
AXA,FR0000120628,CS,Euronext Paris,France,XPAR,Common Stock,121479807.525,121479807.525,3490177.0,"0,9",12.8,"7,5",EUR
BNP PARIBAS ACT.A,FR0000131104,BNP,Euronext Paris,France,XPAR,Common Stock,228114028.42,228114028.42,3467964.0,"0,1","12,8",7.5,EUR
BOUYGUES SA,FR0000120503,EN,Euronext Paris,France,XPAR,Common Stock,36555688.29,36555688.29,965487.0,2.0,8.6,"6,6",EUR
CAPGEMINI SE,FR0000125338,CAP,Euronext Paris,France,XPAR,Common Stock,98614242.9,98614242.9,462003.0,,,,EUR
CARREFOUR SA,FR0000120172,CA,Euronext Paris,France,XPAR,Common Stock,31551442.14,31551442.14,1984097.0,"2,5",6.8,"6,6",EUR
CREDIT AGRICOLE SA,FR0000045072,ACA,Euronext Paris,France,XPAR,Common Stock,76138942.318,76138942.318,5518713.0,"0,3","9,6",,EUR
DANONE SA,FR0000120644,BN,Euronext Paris,France,XPAR,Common Stock,72653044.11,72653044.11,1213072.0,4.9,5.6,10.4,EUR
DASSAULT SYSTEMES SE,FR0014003TT8,DSY,Euronext Paris,France,XPAR,Common Stock,63240288.215,63240288.215,1539715.0,5.6,"13,8","11,2",EUR
EDENRED,FR0010908533,EDEN,Euronext Paris,France,XPAR,Common Stock,27183550.11,27183550.11,548825.0,2.8,"(51),1","13,1",EUR
ENGIE SA,FR0010208488,ENGI,Euronext Paris,France,XPAR,Common Stock,107821158.022,107821158.022,6950577.0,3.3,7.7,12.6,EUR
ESSILORLUXOTTICA SA,FR0000121667,EL,Euronext Paris,France,XPAR,Common Stock,84751068.4,84751068.4,403928.0,3.4,6.3,6.2,EUR
EUROFINS SCIENTIFIC SE,FR0014000MR3,ERFSF,Euronext Paris,France,XPAR,Common Stock,25411233.3,25411233.3,432940.0,4.3,"6,2","7,8",EUR
HERMES INTERNATIONAL SCA,FR0000052292,RMS,Euronext Paris,France,XPAR,Common Stock,131245341.5,131245341.5,55310.0,"18,6",31.3,32.7,EUR
KERING SA,FR0000121485,KER,Euronext Paris,France,XPAR,Common Stock,91962509.5,91962509.5,250449.0,"7,9",20.0,13.3,EUR
L'OREAL SA,FR0000120321,OR,Euronext Paris,France,XPAR,Common Stock,137161252.3,137161252.3,312490.0,10.3,"22,0",21.1,EUR
LEGRAND SA,FR0010307819,LR,Euronext Paris,France,XPAR,Common Stock,63082556.22,63082556.22,642073.0,"6,6","17,2","12,7",EUR
LVMH MOET HENNESSY LOUIS VUITTON SE,FR0000121014,MC,Euronext Paris,France,XPAR,Common Stock,381303740.3,381303740.3,456534.0,"10,2","26,7",21.0,EUR
COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN SCA,FR001400AJ45,ML,Euronext Paris,France,XPAR,Common Stock,45002654.45,45002654.45,1265128.0,"5,9",11.3,"13,5",EUR
ORANGE SA,FR0000133308,ORA,Euronext Paris,France,XPAR,Common Stock,58217811.59,58217811.59,5348634.0,3.2,8.3,"7,0",EUR
PERNOD RICARD SA,FR0000120693,RI,Euronext Paris,France,XPAR,Common Stock,64452106.75,64452106.75,428614.0,"5,1",12.2,"9,1",EUR
PUBLICIS GROUPE SA,FR0000130577,PUB,Euronext Paris,France,XPAR,Common Stock,37795979.06,37795979.06,374471.0,"3,8","13,7","14,3",EUR
RENAULT SA,FR0000131906,RNO,Euronext Paris,France,XPAR,Common Stock,41906035.435,41906035.435,895026.0,"2,1",7.7,4.1,EUR
SAFRAN SA,FR0000073272,SAF,Euronext Paris,France,XPAR,Common Stock,124395252.8,124395252.8,591624.0,4.1,"30,7","16,1",EUR
COMPAGNIE DE SAINT GOBAIN SA,FR0000125007,SGO,Euronext Paris,France,XPAR,Common Stock,71453100.35,71453100.35,993304.0,5.6,"11,7",12.5,EUR
SANOFI SA,FR0000120578,SAN,Euronext Paris,France,XPAR,Common Stock,167539014.59,167539014.59,1839942.0,4.5,7.3,"9,7",EUR
SCHNEIDER ELECTRIC SE,FR0000121972,SU,Euronext Paris,France,XPAR,Common Stock,170063754.75,170063754.75,810844.0,"6,3","15,7",13.8,EUR
SOCIETE GENERALE SA,FR0000130809,GLE,Euronext Paris,France,XPAR,Common Stock,114832949.385,114832949.385,4643755.0,0.2,"4,6",,EUR
STELLANTIS NV,NL00150001Q9,STLAP,Euronext Paris,Netherlands,XPAR,Common Stock,74803134.41,74803134.41,2825395.0,7.4,"24,1",19.7,EUR
STMICROELECTRONICS NV,NL0000226223,STM,Euronext Paris,Netherlands,XPAR,Common Stock,53411712.575,53411712.575,1334676.0,"13,0",28.5,23.0,EUR
STMICROELECTRONICS NV,NL0000226223,STM,Euronext Paris,Netherlands,XPAR,Common Stock,83107070.94,83107070.94,2072125.0,13.0,"28,5","23,0",EUR
TELEPERFORMANCE SE,FR0000051807,TEP,Euronext Paris,France,XPAR,Common Stock,23447528.96,23447528.96,259955.0,6.3,"15,2",10.5,EUR
THALES,FR0000121329,HO,Euronext Paris,France,XPAR,Common Stock,40615927.4,40615927.4,256651.0,"2,7",12.9,"10,0",EUR
TOTALENERGIES SE,FR0000120271,TTE,Euronext Paris,France,XPAR,Common Stock,219069789.68,219069789.68,3452878.0,5.8,"7,8",11.6,EUR
UNIBAIL-RODAMCO-WE,FR0013326246,URW,Euronext Paris,France,XPAR,Common Stock,24218467.7,24218467.7,324959.0,1.7,8.1,2.8,EUR
VEOLIA ENVIRONNEMENT SA,FR0000124141,VIE,Euronext Paris,France,XPAR,Common Stock,48897763.4,48897763.4,1620647.0,"2,4","2,0",6.2,EUR
VINCI SA,FR0000125486,DG,Euronext Paris,France,XPAR,Common Stock,104749142.86,104749142.86,880474.0,4.4,16.6,11.3,EUR
VIVENDI SE,FR0000127771,VIV,Euronext Paris,France,XPAR,Common Stock,24219937.818,24219937.818,2403662.0,1.2,"2,8","2,5",EUR
ABN AMRO BANK N.V.,NL0011540547,ABN,Euronext Amsterdam,Netherlands,XAMS,Common Stock,54608508.39,54608508.39,3452415.0,"0,7","11,5",,EUR
ADYEN,NL0012969182,ADYEN,Euronext Amsterdam,Netherlands,XAMS,Common Stock,105391737.8,105391737.8,67100.0,5.0,"21,0",20.2,EUR
AEGON,BMG0112X1056,AGN,Euronext Amsterdam,Netherlands,XAMS,Common Stock,30288814.74,30288814.74,5358599.0,,,,EUR
AHOLD DEL,NL0011794037,AD,Euronext Amsterdam,Netherlands,XAMS,Common Stock,51052231.64,51052231.64,1842762.0,4.4,"12,4",10.1,EUR
AKZO NOBEL,NL0013267909,AKZA,Euronext Amsterdam,Netherlands,XAMS,Common Stock,22301447.72,22301447.72,321731.0,4.5,10.7,"10,0",EUR
ARCELORMITTAL SA,LU1598757687,MT.S,Euronext Amsterdam,Luxembourg,XAMS,Common Stock,44321308.065,44321308.065,1738641.0,"2,1","1,8",4.5,EUR
ASM INTERNATIONAL,NL0000334118,ASM,Euronext Amsterdam,Netherlands,XAMS,Common Stock,75407234.7,75407234.7,132724.0,(0.3),(11.5),(12.8),EUR
ASML HOLDING,NL0010273215,ASML,Euronext Amsterdam,Netherlands,XAMS,Common Stock,476268374.9,476268374.9,532794.0,"14,8","70,4","48,7",EUR
ASR NEDERLAND,NL0011872643,ASRNL,Euronext Amsterdam,Netherlands,XAMS,Common Stock,30018025.88,30018025.88,663046.0,"2,4",13.5,12.7,EUR
BE SEMICONDUCTOR,NL0012866412,BESI,Euronext Amsterdam,Netherlands,XAMS,Common Stock,74758202.05,74758202.05,526172.0,13.1,33.7,28.3,EUR
DSM FIRMENICH AG,CH1216478797,DSMR,Euronext Amsterdam,Switzerland,XAMS,Common Stock,44900125.58,44900125.58,425698.0,(1.4),(3.8),(1.8),EUR
EXOR NV,NL0012059018,EXO,Euronext Amsterdam,Netherlands,XAMS,Common Stock,15917681.45,15917681.45,154591.0,3.2,21.2,"7,1",EUR
HEINEKEN,NL0000009165,HEIA,Euronext Amsterdam,Netherlands,XAMS,Common Stock,41709706.28,41709706.28,465982.0,4.7,"10,8","9,3",EUR
IMCD,NL0010801007,IMCD,Euronext Amsterdam,Netherlands,XAMS,Common Stock,23081484.45,23081484.45,141116.0,"6,9","17,2","12,2",EUR
ING GROEP N.V.,NL0011821202,INGA,Euronext Amsterdam,Netherlands,XAMS,Common Stock,209567441.772,209567441.772,13778374.0,0.4,"7,8",,EUR
KPN KON,NL0000009082,TKWY,Euronext Amsterdam,Netherlands,XAMS,Common Stock,34830780.088,34830780.088,10044911.0,7.0,23.0,12.9,EUR
NN GROUP,NL0010773842,NN,Euronext Amsterdam,Netherlands,XAMS,Common Stock,36140975.95,36140975.95,844844.0,"0,8","6,1","7,4",EUR
PHILIPS KON,NL0000009538,PHIA,Euronext Amsterdam,Netherlands,XAMS,Common Stock,38704542.494,38704542.494,2077535.0,0.9,"(3),6",2.1,EUR
PROSUS,NL0013654783,PRX,Euronext Amsterdam,Netherlands,XAMS,Common Stock,111995463.375,111995463.375,3854732.0,"(0),6",26.0,(1.0),EUR
RANDSTAD NV,NL0000379121,RAND,Euronext Amsterdam,Netherlands,XAMS,Common Stock,42584794.21,42584794.21,866020.0,"5,0",13.0,"14,8",EUR
RELX,GB00B2B0DG97,REN,Euronext Amsterdam,United Kingdom,XAMS,Common Stock,27024971.09,27024971.09,672137.0,10.7,"49,7",25.3,EUR
SHELL PLC,GB00BP6MXD84,SHEL,Euronext Amsterdam,United Kingdom,XAMS,Common Stock,194146348.41,194146348.41,6270881.0,5.2,10.3,12.4,EUR
UMG,NL0015000IY2,UMG,Euronext Amsterdam,Netherlands,XAMS,Common Stock,46643851.91,46643851.91,1677151.0,,,,EUR
UNILEVER,GB00B10RZP78,UNA,Euronext Amsterdam,United Kingdom,XAMS,Common Stock,50160538.405,50160538.405,1078663.0,8.2,33.6,18.5,EUR
WOLTERS KLUWER,NL0000395903,WKL,Euronext Amsterdam,Netherlands,XAMS,Common Stock,79024988.85,79024988.85,543875.0,"8,8","49,6",27.0,EUR
AB INBEV,BE0974293251,BUD,Euronext Brussels,Belgium,XBRU,Common Stock,83477074.78,83477074.78,1481372.0,4.2,"7,8",7.9,EUR
ACKERMANS V.HAAREN,BE0003764785,ACKR,Euronext Brussels,Belgium,XBRU,Common Stock,3150358.1,3150358.1,19515.0,"1,8",8.2,5.8,EUR
AEDIFICA,BE0003851681,AED,Euronext Brussels,Belgium,XBRU,Common Stock,4395155.95,4395155.95,77300.0,2.7,0.7,"4,4",EUR
